epoch,accuracy,loss,val_accuracy,val_loss
0,0.6606698036193848,0.9471725821495056,0.6685879230499268,0.8777608275413513
1,0.7993357181549072,0.5690860152244568,0.7089337110519409,0.7746162414550781
2,0.8425131440162659,0.41924235224723816,0.7118155360221863,0.7712831497192383
3,0.8746194243431091,0.3392358422279358,0.6916426420211792,0.8099387288093567
4,0.8995294570922852,0.28219494223594666,0.6887608170509338,0.8435131311416626
5,0.9155825972557068,0.24143917858600616,0.7060518860816956,0.920528769493103
6,0.9310821890830994,0.20723064243793488,0.6829971075057983,0.9593421220779419
7,0.9427068829536438,0.17410610616207123,0.6657060384750366,1.0429662466049194
8,0.9526709318161011,0.1564210057258606,0.680115282535553,1.0764155387878418
9,0.9606974720954895,0.13685989379882812,0.6714697480201721,1.1308681964874268
10,0.9623581767082214,0.11904370039701462,0.6599423885345459,1.178714632987976
11,0.9648491740226746,0.10794905573129654,0.6685879230499268,1.286527395248413
12,0.9667866230010986,0.10045858472585678,0.6772334575653076,1.299560308456421
13,0.9725989699363708,0.09387942403554916,0.6714697480201721,1.3206827640533447
14,0.9717686176300049,0.09000985324382782,0.6570605039596558,1.4140294790267944
15,0.973706066608429,0.08224114775657654,0.6685879230499268,1.4439902305603027
16,0.9745364189147949,0.08209419250488281,0.6714697480201721,1.4392662048339844
17,0.9745364189147949,0.07769687473773956,0.6657060384750366,1.5193455219268799
18,0.9761970639228821,0.07643428444862366,0.6714697480201721,1.5719701051712036
19,0.9792416095733643,0.06880319118499756,0.6599423885345459,1.5490726232528687
20,0.9767506122589111,0.06852495670318604,0.6714697480201721,1.6125677824020386
21,0.976473867893219,0.06542032212018967,0.6657060384750366,1.6170514822006226
22,0.9792416095733643,0.0627356693148613,0.6714697480201721,1.6327552795410156
23,0.9778577089309692,0.06633763760328293,0.6657060384750366,1.6681045293807983
24,0.9789648652076721,0.0556025430560112,0.6772334575653076,1.672226071357727
